2015-10-05 09:39:00,544 [Worker-0] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' /home/ha/Documents/JavaEE/newworkspace/HibernateApp/Jenkins/pom.xml
2015-10-05 09:39:01,968 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.src:Jenkins:0.0.1-SNAPSHOT @ /home/ha/Documents/JavaEE/newworkspace/HibernateApp/Jenkins/pom.xml.
2015-10-05 09:39:03,614 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Jenkins/src/main/java
2015-10-05 09:39:03,615 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Jenkins/src/main/resources
2015-10-05 09:39:03,616 [Worker-0] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Jenkins/src/test/java
2015-10-05 09:39:06,203 [Worker-0] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 5 sec
2015-10-05 09:39:07,921 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-05 09:39:07,959 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-05 09:39:07,972 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-05 09:39:07,978 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ha/Documents/JavaEE/newworkspace/HibernateApp/Jenkins/src/test/resources
2015-10-05 09:39:33,297 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-05 09:39:33,304 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-10-05 09:39:33,317 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-05 09:39:33,318 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ha/Documents/JavaEE/newworkspace/HibernateApp/Jenkins/src/test/resources
